Year;Month;Number_of_hours;Mean
1969;5;607728;25.4114032364556
1969;6;608472;24.3040455044765
1969;7;609192;23.173410262709
1969;8;609936;23.2084096920385
1969;9;610680;23.5398430205574
1969;10;611400;23.9363365510229
1969;11;612144;24.1227048395216
1969;12;612864;24.4957818113523
1970;1;613608;24.7836902043494
1970;2;614352;25.5399366105144
1970;3;615024;25.5335570575867
1970;4;615768;25.4910930057229
1970;5;616488;25.05926083189
1970;6;617232;24.1015773954234
1970;7;617952;23.2830910562262
1970;8;618696;23.1859555224322
1970;9;619440;23.5479118439208
1970;10;620160;24.0305612611047
1970;11;620904;24.3547068421079
1970;12;621624;24.457069105993
1971;1;622368;24.6150894675027
1971;2;623112;25.0310302108238
1971;3;623784;25.428267113116
1971;4;624528;25.1937965965153
1971;5;625248;24.9918177846764
1971;6;625992;24.2275510899137
1971;7;626712;23.0914797508024
1971;8;627456;22.8124576173735
1971;9;628200;23.3767593673371
1971;10;628920;23.73262583796
1971;11;629664;23.8397003715632
1971;12;630384;23.9581478385692
1972;1;631128;24.4796445310794
1972;2;631872;24.9148808975474
1972;3;632568;25.1894000470767
1972;4;633312;25.1650740316242
1972;5;634032;24.991006333883
1972;6;634776;23.9333924207348
1972;7;635496;23.4458100879475
1972;8;636240;23.2261976836673
1972;9;636984;23.6106278818315
1972;10;637704;24.1195931584274
1972;11;638448;24.3701457836505
1972;12;639168;25.0401553982487
1973;1;639912;25.4020440479414
1973;2;640656;25.9855111263789
1973;3;641328;26.1548716847547
1973;4;642072;25.7880696636595
1973;5;642792;25.3398425111208
1973;6;643536;24.5365770734744
1973;7;644256;23.7902582663346
1973;8;645000;23.6065446096474
1973;9;645744;23.9602178951867
1973;10;646464;24.3684581418983
1973;11;647208;24.3777906200045
1973;12;647928;24.3653747591784
1974;1;648672;24.4252958134845
1974;2;649416;25.0598054229062
1974;3;650088;25.1633386287309
1974;4;650832;25.147721590657
1974;5;651552;24.6461971578175
1974;6;652296;24.354662012597
1974;7;653016;23.345368530411
1974;8;653760;23.3391762353587
1974;9;654504;23.4874924124903
1974;10;655224;23.8817642559126
1974;11;655968;24.0700802054704
1974;12;656688;24.2280039046195
1975;1;657432;24.7039959154856
1975;2;658176;24.9696946856908
1975;3;658848;25.261787084941
1975;4;659592;25.1914124075844
1975;5;660312;24.836037229313
1975;6;661056;24.1898050081599
1975;7;661776;23.1062168926625
1975;8;662520;22.9292681353984
1975;9;663264;23.1548067892954
1975;10;663984;23.7162670160259
1975;11;664728;24.0898359316814
1975;12;665448;24.2128659844886
1976;1;666192;24.4828558468814
1976;2;666936;24.5602841892301
1976;3;667632;25.1030128465966
1976;4;668376;25.0098238977312
1976;5;669096;24.6623398534628
1976;6;669840;23.6849366439715
1976;7;670560;22.8078136709246
1976;8;671304;22.6737450534192
1976;9;672048;23.3769995574234
1976;10;672768;23.8016087646233
1976;11;673512;23.8538040370099
1976;12;674232;24.161084438406
1977;1;674976;24.5797263938842
1977;2;675720;25.098768945511
1977;3;676392;25.3290819626812
1977;4;677136;25.3049779774948
1977;5;677856;24.9450329171527
1977;6;678600;24.0143933208665
1977;7;679320;23.3122991723597
1977;8;680064;23.2978428562371
1977;9;680808;23.854226436053
1977;10;681528;24.1765751720811
1977;11;682272;24.168404311702
1977;12;682992;24.4070728005161
1978;1;683736;24.7785231247884
1978;2;684480;25.2691884331247
1978;3;685152;25.2291700529905
1978;4;685896;25.1075493406574
1978;5;686616;24.8641091351806
1978;6;687360;23.8946082161737
1978;7;688080;23.1406280415433
1978;8;688824;23.0479795712684
1978;9;689568;23.4258048067206
1978;10;690288;23.8308947318239
1978;11;691032;24.0650956606028
1978;12;691752;24.4512110574941
1979;1;692496;24.8476099207363
1979;2;693240;25.2331653355532
1979;3;693912;25.513493184474
1979;4;694656;25.4740331170137
1979;5;695376;25.1565032887501
1979;6;696120;24.2079554225651
1979;7;696840;23.5658339169115
1979;8;697584;23.4598984437701
1979;9;698328;23.9081777141781
1979;10;699048;24.2521195756093
1979;11;699792;24.4247637226135
1979;12;700512;24.5879551539587
1980;1;701256;24.9647576169447
