Year,Month,Julian_day,Mean
1888,1,13894.5,-1.858763755
1888,2,13924.5,-1.389367091
1888,3,13954.5,-0.569995194
1888,4,13985,-0.279079655
1888,5,14015.5,-0.084529567
1888,6,14046,0.677591495
1888,7,14076.5,-0.512665117
1888,8,14107.5,-1.340749751
1888,9,14138,0.404052146
1888,10,14168.5,-1.202814824
1888,11,14199,-1.243971599
1888,12,14229.5,0.068768953
1889,1,14260.5,-1.006393995
1889,2,14290,-1.177931391
1889,3,14319.5,-1.098680467
1889,4,14350,-1.035277677
1889,5,14380.5,0.013450375
1889,6,14411,0.588909144
1889,7,14441.5,0.022132321
1889,8,14472.5,-0.023860776
1889,9,14503,-0.751492962
1889,10,14533.5,0.025602851
1889,11,14564,-0.50782143
1889,12,14594.5,-1.325295181
1890,1,14625.5,0.443998014
1890,2,14655,-1.114827008
1890,3,14684.5,-0.546898364
1890,4,14715,-0.203469382
1890,5,14745.5,-0.210065693
1890,6,14776,-0.74921082
1890,7,14806.5,-0.977178437
1890,8,14837.5,0.486070335
1890,9,14868,-1.576219661
1890,10,14898.5,-1.221539055
1890,11,14929,-1.420130417
1890,12,14959.5,-1.682415673
1891,1,14990.5,-2.554529742
1891,2,15020,-1.97149998
1891,3,15049.5,-0.725156239
1891,4,15080,-1.215110336
1891,5,15110.5,-0.329008241
1891,6,15141,-0.581255992
1891,7,15171.5,0.218897895
1891,8,15202.5,-0.341407164
1891,9,15233,0.226815984
1891,10,15263.5,0.365273988
1891,11,15294,0.179248051
1891,12,15324.5,0.263146107
1892,1,15355.5,-0.084511594
1892,2,15385.5,0.710920034
1892,3,15415.5,-0.508897726
1892,4,15446,0.115657144
1892,5,15476.5,-0.368955257
1892,6,15507,0.734133759
1892,7,15537.5,-0.090196804
1892,8,15568.5,0.080188991
1892,9,15599,-0.179036638
1892,10,15629.5,0.314705041
1892,11,15660,-0.125529375
1892,12,15690.5,-0.818372735
1893,1,15721.5,-2.828285565
1893,2,15751,-0.632464606
1893,3,15780.5,-0.386106891
1893,4,15811,0.153113139
1893,5,15841.5,0.026220384
1893,6,15872,-0.003569465
1893,7,15902.5,0.227368747
1893,8,15933.5,-0.508281459
1893,9,15964,0.390473892
1893,10,15994.5,0.875574597
1893,11,16025,0.171403491
1893,12,16055.5,0.176401505
1894,1,16086.5,-1.153486851
1894,2,16116,-0.556273261
1894,3,16145.5,-0.228892363
1894,4,16176,0.319364443
1894,5,16206.5,-0.529922026
1894,6,16237,-1.001638111
1894,7,16267.5,0.499070837
1894,8,16298.5,-0.767366252
1894,9,16329,-0.142612449
1894,10,16359.5,0.3632284
1894,11,16390,0.488006201
1894,12,16420.5,-0.448793741
1895,1,16451.5,-1.061297943
1895,2,16481,-1.826763145
1895,3,16510.5,-0.953338115
1895,4,16541,0.251150169
1895,5,16571.5,-0.76579333
1895,6,16602,-0.329243608
1895,7,16632.5,0.643849357
1895,8,16663.5,-0.263435131
1895,9,16694,1.213675711
1895,10,16724.5,0.373448857
1895,11,16755,0.73606396
1895,12,16785.5,0.257378476
1896,1,16816.5,-1.310525784
1896,2,16846.5,-0.63200074
1896,3,16876.5,0.251865861
1896,4,16907,-1.442749522
1896,5,16937.5,-1.298697521
1896,6,16968,-0.46994523
1896,7,16998.5,0.264822957
1896,8,17029.5,-1.411855983
1896,9,17060,-0.7150776
1896,10,17090.5,-0.378165566
1896,11,17121,-0.752147369
1896,12,17151.5,-0.095855311
1897,1,17182.5,-0.218285808
1897,2,17212,0.109466764
1897,3,17241.5,0.560340777
1897,4,17272,0.079835808
1897,5,17302.5,-0.894252025
1897,6,17333,0.038182588
1897,7,17363.5,0.7132711
1897,8,17394.5,-0.173227129
1897,9,17425,0.082953099
1897,10,17455.5,-1.523221115
1897,11,17486,-0.971381198
1897,12,17516.5,-0.577565906
1898,1,17547.5,0.465887612
1898,2,17577,-0.722951671
1898,3,17606.5,-0.044475164
1898,4,17637,-0.005688109
1898,5,17667.5,-0.456153244
1898,6,17698,-0.186489191
1898,7,17728.5,-0.983113267
1898,8,17759.5,-0.402590307
1898,9,17790,-0.035547305
1898,10,17820.5,0.491357132
1898,11,17851,1.501346714
1898,12,17881.5,0.22865567
1899,1,17912.5,0.762248093
1899,2,17942,0.320350533
1899,3,17971.5,-0.016424652
1899,4,18002,0.019508968
1899,5,18032.5,-0.048712156
1899,6,18063,-0.855911727
1899,7,18093.5,-1.096339449
1899,8,18124.5,-0.042210135
1899,9,18155,-0.02592095
1899,10,18185.5,0.563460884
1899,11,18216,0.169626457
1899,12,18246.5,-0.594948347
1900,1,18277.5,0.255760389
1900,2,18307,0.851935374
1900,3,18336.5,-1.234713956
1900,4,18367,-0.963652273
1900,5,18397.5,-0.699356796
1900,6,18428,-0.099549778
1900,7,18458.5,-0.466098831
1900,8,18489.5,-1.091205125
1900,9,18520,0.426079109
1900,10,18550.5,1.408012439
1900,11,18581,0.838747307
1900,12,18611.5,0.080755492
1901,1,18642.5,-1.355179629
1901,2,18672,-2.009985401
1901,3,18701.5,-0.263139429
1901,4,18732,0.195868292
1901,5,18762.5,-0.796610099
1901,6,18793,0.594244093
1901,7,18823.5,-0.116055583
1901,8,18854.5,-0.44071437
1901,9,18885,-0.360130894
1901,10,18915.5,-0.518641554
1901,11,18946,-0.92294784
1901,12,18976.5,0.008783571
1902,1,19007.5,0.01159414
1902,2,19037,0.542074328
1902,3,19066.5,-0.24906195
1902,4,19097,0.709289972
1902,5,19127.5,-2.056894653
1902,6,19158,-1.58696162
1902,7,19188.5,-0.043329711
1902,8,19219.5,-0.079629026
